NAME,LATITUDE,LONGITUDE
Sweet Garden  House,41.05091,29.02262
Exclusivity in Istanbul Bosphorus View,41.03655,28.99017
Exclusivity in Istanbul City View,41.03789,28.99014
Studio apartment İstiklal Street,41.03234,28.97472
"Bosphorous View, Greenary, comfrtbl",41.08725,29.03729
pvt Apt ◆ Anatolian Side of Istnbul,41.02544,29.03525
Room for sublet IN TAKSIM/CIHANGIR,41.03042,28.98457
lovely home with sea view,40.98447,29.02221
Family  Apartment with Private Hammam,41.00409,28.97903
İstanbul Beyoğlu Cihangir,41.03323,28.98525
Full Bosphorus sea&Istanbul view ,41.02971,29.01917
120m2 private apart Taxim.,41.04099,28.98675
Walk to GRAND pazarيوسف باشا مشي لبيازيت,41.01237,28.94659
on Galata Roofs.  Super central istiklal avenue,41.03383,28.98168
Furnished Double BR with Breakfast,41.03137,28.97318
Full Bosphorus Sea View ◆ near Park,41.0309,29.01983
in the city center,41.07587,29.00994
Modern Deluxe Studio Near to Taksim,41.03788,28.98258
Modern Flat 30m to Istiklal- Taksim,41.0339,28.9826
Apartment in the Heart of the City2,41.03915,28.98273
Studio in the Heart of the City 1,41.03911,28.98266
A single room in Istanbul - Kadikoy,40.99407,29.03697
Charming Delightful Studio@Centre 2,41.02752,28.97705
"Invitation to Travel: Luxury, Quiet",41.03499,28.97238
Historic mansion center of Buyukada,40.87361,29.13289
"truly unique accommodation,Istanbul",41.0555,28.99978
"Lot's of Light, Lot's of Green!",41.08679,29.05244
"Bright flat, great view! Kadikoy",40.99609,29.0278
Charming Delightful Studio@Centre 1,41.02728,28.97705
Central Apt. in Popular Nisantaşı,41.0493,28.99618
Istanbul Postcard View (Asian Side),41.01502,29.01303
CasaLoBueno#1 Splendid Galata Tower,41.0295,28.97351
Cozy Room ANGORA - Single @ Kaboom Guest House,41.03519,28.97177
Cute apartment in center of Beyoglu,41.03255,28.98032
Cozy Flat 1BR @Taksim Square,41.03666,28.98093
FURNISHED TRIPLEX TAKSIM.LANDLORD,41.0292,28.98104
2+1 istiklal street/taksim central,41.03174,28.97717
Rooms for rent in Nişantaşı Şişli,41.05485,28.99202
"Minutes walk to center, 2 BDRM Apt",41.03749,28.97505
Pasha,41.02871,28.97935
SALE !!!City 1 bed Luxury Residence,41.06024,28.99147
fairly furnished flat @ city center,41.05274,28.99108
Ottoman istanbul..Yusufpasha Tram ترام يوسف باشا,41.01263,28.94498
Room in Central Istanbul / Cihangir,41.03044,28.98298
Near the bosphorus,41.06782,29.04236
"Couple friendly, Cute Roof w terrace in Beyoglu",41.03102,28.97484
ULTRA LUXE RESIDENCE WITH FREE SWIM.POOL ETC,41.0718,28.67921
"comfy room in Taksim, Istanbul",41.04418,28.98344
1+1 beşiktaş modern house,41.05716,29.0075
3+1 istiklal street from landlord,41.03509,28.98145
"Fair, clean & comfy Apt - Beyoglu",41.03185,28.97146
Duplex Penthouse Central Located,41.05739,28.9955
The best room for young people,41.03404,28.98117
Flats in Taksim 2 min. to square #2,41.03183,28.84544
decent price/quality balance in Ist,41.01667,28.9303
Nakkas Apart,41.0056,28.9704
Very central place-small room for 1,41.06262,28.984
"Elegant, bright, lovely sea views in Galata!",41.02618,28.9761
"Cosy charm, fabulous terrace views in Galata!",41.02496,28.97311
Room in Anatolian side of Istanbul,40.98268,29.04714
"Cosy with frescoes, terrace views in Galata!",41.02815,28.97333
Stylish gem with amazing charm and nightlife buzz!,41.03567,28.97792
2 Bedrooms & Galata & Best Design,41.02718,28.9742
"135 sqm. at Galata Tower, Beyoğlu",41.02747,28.97486
Spacious room in 2br renovated flat,41.03807,28.97582
"A Lovely, Modern, 1bd Apt in Center",41.03806,28.97582
Great flat in central Istanbul,41.03102,28.98196
5 mın.bagdad str-30 mın.prınces isl,40.98132,29.07824
flat in a safe & quiet district,41.00931,29.04331
Very Central Room With Sea View,41.03068,28.98372
Apartment flat entrance - Beyoglu,41.03008,28.97035
Beautiful Triplex in City Center,41.07538,29.03549
Nakkas Apart with Sea View,41.00503,28.97058
Very modern Apartment in Gayrettepe,41.0638,29.00437
Apartment for rent in Cihangir,41.03289,28.98485
Cozy room in 2br renovated flat,41.03806,28.97581
Historical Istanbul House @ Taksim,41.04251,28.98788
A duplex @ heart of shop & dine,41.05352,28.99886
Blue Suites by V Sultanahmet Deluxe,41.00507,28.98081
"Fully furnished penthouse, Beyoglu",41.036,28.97583
"Economic Apt @ Taksim SQ, Beyoglu",41.0343,28.97999
"cosy & comfy room, very central",41.03533,28.98769
Designer Penthouse in Trendy Bebek,41.08333,29.04047
simple&clean room with amazin view in galata,41.02626,28.97673
Bright room with balcony in 2b flat,41.03806,28.97581
Lively room in 2b renovated flat,41.03806,28.97581
"LARGE, SAFE & COMFORTABLE FLAT",41.05606,28.9832
comfortable and  central location,41.03162,28.9715
"CENTRAL PART OF ISTANBUL,TAXIM ",41.04295,28.98281
 STUDiO FLAT /ERASMUS STUDENT (İST,41.05019,28.98696
double BR @ the heart of Cihangir,41.02567,28.9751
"spacious & cozy flat @ city center, flat No.3",41.03951,28.98167
amazing room with bosphorus view in galata,41.02626,28.97673
"room, quarto, camera in a nice town",41.0097,29.04734
Cosy Double Room with Huge Terrace!,41.05193,29.00551
Modern Parisian Apartment in Galata,41.01989,28.95847
Room in Kadikoy/Istanbul,40.98628,29.03288
Cihangir Centre - Large Room ,41.03112,28.98395
Flat and roomIN OLDCITY SULTANAHMET,41.00419,28.97035
Double room in Avenue Bagdat Apart,40.97637,29.06653
"Bosphorus View, Room in Pera Taksim",41.0305,28.97325
Student Flats Student Discounts,40.99429,29.02797
Blue Suites by V 1 Sultanahmet,41.00685,28.98025
Blue Suites by V 2 Sultanahmet,41.00512,28.97901
Spatious room in Rumeli Hisari,41.08665,29.04613
Enjoy the sea view rooms & terrace,40.99825,28.92964
TAKSİM FLAT  FOR SHORT OR LONG TERM RENTİNG,41.03626,28.97344
City Centre Urban Flat,41.06254,28.98454
Full furnished flat in Beyoglu/IST,41.03837,28.98309
Designer-renovated Galata Tower Appartment,41.02699,28.97475
Pretty Room at Kadıköy Very Central,40.99408,29.02736
small house in outside of istanbul,41.14007,28.31601
Historical Flat in Galata,41.02574,28.97505
"Sultanahmet-Istanbul, Adalar Suite",41.00417,28.96604
Unique Concept in the Old City,41.00311,28.9807
BestLocation Private Studio @Taksim,41.03757,28.98204
*** Spacious FLAT with Sea View ***,40.99607,29.02497
Rooms with a Mystical Garden,41.03196,28.9879
Cozy Flat in Cihangir - Prime Location !,41.03161,28.98341
a nice place close to city center,41.00349,28.93031
COSY PLACE AT ISTANBUL NISANTASI,41.05324,28.99166
Urban Bridge Loft - 3BR - 2BA - Galata,41.02763,28.97595
Apartment with nice bosphorus view,41.0244,28.97595
Beautiful Room in the City Centre!,41.03291,28.97112
"Rooftop terrace, tower& water views",41.02565,28.97398
Comfortable full furnished and amazing view,40.98095,28.6788
simple&clean apt w/ amazing view,41.0257,28.97649
"Quiet, spacious, with patio garden",41.0304,28.98238
"Cozy, high ceilings & marble floors",41.03171,28.97994
Cosy apartment in Istanbul,40.9756,29.05965
"Light, peaceful & high ceilings",41.03116,28.98094
"White, bright and airy!",41.03207,28.98067
Penthouse with panoramic views,41.03234,28.98048
Historic Old City Studio Apt Balat1,41.02919,28.94835
Historic Old City Duplex Apt Balat3,41.02952,28.94716
YOUR HOME IN ISTANBUL,41.02731,29.08375
In the center with a good price,41.01966,28.92449
Historic Old City Studio Apt Balat2,41.02919,28.94835
Historic Old City MiniDuplex Balat4,41.02919,28.94835
Chic Quatier Botanical Heaven ,41.05093,29.00181
"Cozy Room with Terrace, City View!",41.05167,29.00572
Centrally Located Elegant Apartment,41.03249,28.98687
A Nice Flat with Bosphorus view,41.0243,29.01251
FANCY 2 BDRM MACKA APT NEAR TAKSIM,41.04298,28.99915
Weekly Monthly suits 5min. Taksim,41.04995,28.98736
Ender Guzey Museum ARThill Bodrum,41.22204,29.02467
Modern and Clean Residence in Perfect Location,41.00468,28.81231
Cozy apt in the heart of Cihangir,41.03211,28.98401
1 bedroom apartment in the center of Old Istanbul,41.02981,28.94857
Studio flat in Istanbul very good price,41.02875,28.9481
Luxury in space & full privacy,41.00394,28.97978
Comfy Central Room in A Safe Area,41.05356,28.97864
EDEN | 1Bed with Garden in CIHANGIR,41.03045,28.98389
Great Value&Close to Metro Station!,41.07231,29.0241
Villa Prinkipo mit Pool,40.87039,29.12358
❦ Great location･Economic ･Clean ❦,41.05462,28.99195
"Artist's Studio, Central & Near Taksim",41.0497,28.98836
Perfect Located HOUSE Cihangir BEYOGLU,41.03099,28.98272
Beach sea sunbath in the black sea1,41.17059,29.63018
LÜX_TEMİZ_HİJYENİK_DAİRE,41.07533,28.99873
dubleks evimin üst katı sizin ,40.94378,29.13958
"Really Turkish Hospitality Mimaroba, Büyükçekmece",41.04236,29.00527
CHOOSE THE NATURE TO REST,41.16284,29.58172
Tabiatla iç içe! Ulaşım çok kolay!,41.03261,29.17809
FUAREV FLAT 84M2 CLOSED TO AIRPORT,41.03494,28.77126
FUAREV FLAT 84M2 in a LUX COMPLEX,41.05591,28.78515
get a roommate,41.03003,28.84413
The Jewel of the Bosphorus,41.0428,29.04829
Attic for 2adults+2kids in villa ,41.23412,29.00687
"PRIVATE ROOM,CENTRAL OF MECIDIYEKOY",41.07186,29.00072
Şık aydınlık site içinde daire,41.00618,29.20436
Fancy Flat near Taksim Square (7),41.03948,28.98233
The room with Golden Horn view ,41.03027,28.94943
room at the center of istanbul,41.0475,29.00271
BAKIRKÖY SAHİL SUİTES GÜVENCESİYLE,40.97522,28.87263
1001 nights in Istanbul,41.02951,28.98356
"Cosy Apartment, full Bosphorus view",41.02998,28.98726
Private Room in Safest Area,41.07444,29.02441
Villa Bosphorus Konak,41.17503,29.08932
Nice pvt room near Sabiha airport ,40.81867,29.30315
Adorable private bedroom & bathroom,41.06002,29.0191
**STAY SAFE RULES** Elegant Flat in Istanbul Heart,41.03164,28.96941
Small room in the city center,41.01719,28.93065
Single room in Avenue Bagdat Apart,40.97589,29.0671
Big & old apartment close to Nişantaşı and Taksim,41.05378,28.98742
tree and the balcony,40.9959,29.03336
Bakırköy Sahil Suites Near Airport*,40.97531,28.87351
nıcest place,40.86749,29.30739
Do You Want Comfort and Convenience,40.97353,29.07474
Sunny&cosy vintage apt @Beyoglu,41.03597,28.97643
Historical Spacious Room in Taksim!,41.03219,28.98017
"Marvelous sea view, 80m2 penthouse",41.013,29.01541
Orange Studio Private&Great Terrace,41.04929,28.98635
Taksimde eğlence ve tarihin içinde,41.03065,28.98385
*STAY SAFE FLAT* Cheap Taksim Wooden Mansion!,41.03187,28.97283
*Stay SAFE* 48Hrs Empty! TAKSIM Charming Flat,41.03178,28.97245
*NEW RULES* to STAY SAFE Authentic Ottoman Mansion,41.03188,28.97267
Magnificent Rooms For Your Comfort,41.02003,29.01355
Furnished 3BR Apt near Taksim SQ,41.0465,28.99457
#Old City#Authentic Duplex #Terrace,41.01094,28.95067
Nice flat Central residential area,41.05886,29.00334
golden horn,41.05945,28.95132
Cool apartment in İstanbul,41.0604,28.98673
Renewed basement studio with garden,41.03806,28.97581
TAKSIM CENTER - Comfy Room / House,41.04006,28.9833
Cozy Room OLIVE   @Kaboom Guest House,41.03488,28.97242
Cosy flat at the heart of İstanbul,41.03514,28.97667
"Central Istanbul, Easy Transport",41.02672,29.03997
A gem in the Hippest Neighborhood,41.03063,28.9854
Fully furnished cosy flat in Galata,41.02424,28.97363
One bedroom apartment in Istanbul,41.07329,28.97601
Room for Rent in Istanbul Airport,41.00406,28.82735
"room,close to saw airport best spot",40.92538,29.29089
room close to sabiha gokcen airport,40.92544,29.29017
CENTRAL FLAT IN BEYOGLU,41.0368,28.97366
1+1 Modern House at the Bosphorus!!,41.04676,29.01426
Comfortable rooms in Beylikdüzü,41.00387,28.6499
Central Cihangir flat in Beyoglu,41.03404,28.98312
In the heart of Cihangir!,41.03016,28.98247
Room in Touristic Spot of Istanbul,41.03388,28.98859
ADAHAN,41.02958,28.97377
Rental Room in Istanbul Good Choice,41.08559,28.66085
Great location - w/ all connections,41.01971,28.94369
2 min Accross Metro 20min to Taksim,41.10163,29.00043
Galata and Istiklal 3 min,41.03015,28.97136
Great central apt near Bosphorous,41.04657,29.00396
Central @ ISTANBUL close to History,41.0135,28.94751
İstanbul/Taksim,41.03209,28.98303
SPACE IN HISTORICAL BOSPHORUS HOUSE,41.07012,29.04122
Studio fully serviced in the trendiest district,41.05158,28.99034
Fancy Studio in Perfect location,41.03161,28.97469
Studio in Galata area near Tram St.,41.02873,28.97717
Twin Suit fully serviced in the trendiest district,41.05183,28.99042
CasaLoBueno#2 Comfort Galata Tower,41.02471,28.97444
in the heart of Istanbul,41.03895,28.97693
"Orient Pearl, A Select Apartment Central To All",41.0327,28.97821
Ground Floor 2+1 @ TAKSIM Very Touristic,41.03913,28.98114
Quiet But Exciting Neighbourhood,41.02999,28.98078
Your home in Central Istanbul ,41.04472,28.9784
"Cozy Home & Office, Istanbul",41.08054,29.04483
"well designed flat, beyoglu",41.02846,28.97717
Comfortable apartment in Taksim,41.04387,28.9859
