NAME,LATITUDE,LONGITUDE
HAMİDİYE HOTEL,41.0129,28.95832
ANTEA PALACE HOTEL STANDARD ROOM,41.00479,28.97036
FERONYA HOTEL STANDART ROOM,41.04,28.98306
LADY DIANA STANDART ROOM,41.00587,28.97467
MOMENTO HOTEL STANDART ROOM,41.00889,28.96376
SARNIC HOTEL ISTANBUL STANDART ROOM,41.00466,28.97633
ANTİK HOTEL,41.00845,28.96164
ORAN HOTEL STANDART ROOM,41.01097,28.95747
PRESTIGE HOTEL STANDART ROOM,41.00836,28.95819
GRAND DURMAZ HOTEL,41.01072,28.95272
GRAND YAVUZ HOTEL,41.00647,28.96847
ASPEN HOTEL STANDART ROOM,41.00683,28.95395
BEKDAŞ HOTEL STANDART ROOM,41.00723,28.95997
CARTOON HOTEL STANDART ROOM,41.03659,28.98278
GRAND ANKA HOTEL,41.01156,28.94041
GRAND ÜNAL HOTEL,41.00697,28.95391
HOTEL ERDEN SARAYEVO,41.0066,28.95667
ELAN HOTEL STANDART ROOM,41.02964,28.9743
GOLDEN HORN ISTANBUL STANDART ROOM,41.01418,28.97773
ORKA ROYAL STANDART ROOM,41.01453,28.97895
THE BYZANTIUM HOTEL STANDART ROOM,41.00474,28.97974
TILIA HOTEL STANDART ROOM,41.01262,28.95627
HOTEL İSTANBUL TREND,41.0074,28.95393
VISION DELUXE HOTEL STANDART ROOM,41.01169,28.95495
BAZAAR HOTEL STANDART ROOM,41.00918,28.95748
BİLİNÇ HOTEL STANDART ROOM,41.00916,28.96343
ORIENT EXPRESS STANDART ROOM,41.01211,28.97834
AKGÜN HOTEL STANDARD ROOM,41.02387,28.9311
WOW ISTANBUL HOTEL STANDART ROOM,41.01712,28.78769
ALL SEASONS HOTEL İSTANBUL,41.01308,28.94157
BERGAMA HOTEL STANDART ROOM,41.01101,28.95601
MEGARE PALACE STANDART ROOM,41.00766,28.9806
GRAND EMIN HOTEL,41.00524,28.95482
BUYUK SAHINLER HOTEL STANDART ROOM,41.0062,28.95537
ILKBAL DELUXE HOTEL STANDART ROOM,41.00872,28.95787
MARMARAY HOTEL STANDART ROOM,41.0065,28.95416
RAMADA ISTANBUL MERTER STANDART ROOM,41.01365,28.87656
BUDO HOTEL STANDART ROOM,41.01079,28.95363
DELUXE NEWPORT HOTEL STANDART ROOM,41.00782,28.97051
GRAND ANT HOTEL,41.00607,28.95355
GRAND ONS HOTEL,41.00793,28.95496
BARIN HOTEL STANDART ROOM,41.01228,28.95591
BLUE MARMARAY HOTEL STANDART ROOM,41.0106,28.95375
CENTRUM ISTANBUL HOTEL STANDART ROOM,41.01432,28.9778
CONTINENTAL TUNEL RESIDENCE STANDART ROOM,41.02776,28.97221
OLIMPIYAT HOTEL STANDART ROOM,41.0117,28.97723
CLARION HOTEL MAHMUTBEY STANDART ROOM,41.0553,28.81903
REAL STAR HOTEL STANDART ROOM,41.01236,28.94176
