NAME,LATITUDE,LONGITUDE
Bağcılar Demirkapı Zemin Altı Otoparkı,41.05008413,28.83274307
Sütlüce Miniatürk Yanı 1,41.0570908,28.9499804
Sütlüce Miniatürk Yanı 2,41.05706704,28.94992572
Esenler Menderes Parkı Zemin Altı Otoparkı,41.04133643,28.87302883
Bakırköy İdo İskele Önü,40.97396593,28.87604019
Yenikapı Marmaray Büyük Otoparkı,41.00568628,28.95048201
Ragıp Gümüşpala Açık Otoparkı,41.02127282,28.96253535
Gözdağı Sosyal Tesisler  Açık Otoparkı,40.89075826,29.2531532
Sultanbeyli Kent Meydanı Zemin Altı Otoparkı,40.96684221,29.26664203
Ragıp Gümüşpala Açık Otoparkı,41.02124668,28.96253718
Eminönü Açık Otoparkı,41.01895868,28.96903911
Tuzla İdo,40.81500881,29.30364453
Bayrampaşa Muratpaşa Yer Altı Otoparkı,41.04701461,28.9081982
Okan Üniversitesi Zemin Altı Otoparkı,40.84941393,29.3017602
Emirgan Korusu,41.10857218,29.05280483
Merter Metro P+R,41.00733553,28.89573232
Yayla Sanat Merkezi Önü,40.92627298,29.1234684
Vatan Caddesi Migros Önü Açık,41.01600671,28.94044538
Eminönü Açık Otoparkı,41.01841379,28.96927684
Bülent Ecevit Kültür Merkezi Açık Otoparkı,40.8854436,29.19702262
Bülent Ecevit Kültür Merkezi Açık Otoparkı,40.88544646,29.19700784
Topkapı Minibüs Peronları,41.01816315,28.91867522
Dalbastı Sokak 1,41.00617519,28.97865232
Güneş Plajı 1,40.97156005,28.79036922
Matbaacılar Sitesi Yanı,41.02330565,28.91829941
Ataköy Atrium AVM,40.98812804,28.84586022
Fatih Çeşme Açık Otoparkı,41.1689931,28.94628721
Süleymaniye Cami Altı Açık Otoparkı,41.01582344,28.96107753
Mecidiyeköy Açık Otoparkı,41.0650203,28.99728545
Mercan Açık,41.01356395,28.96695457
Mercan Açık,41.01354965,28.96692495
Süleymaniye Cami Altı Açık Otoparkı,41.01604914,28.9608539
Matbaacılar Sitesi Yanı,41.02352763,28.91857262
Miniatürk Çadır Açık Otoparkı,41.05874353,28.95021204
Merter Metro Zeminaltı Otoparkı,41.00372688,28.88983065
Haldun Alagaş Katlı Otoparkı,41.02607037,29.10509523
Gazi Osman Paşa Zemin Altı Otoparkı,41.07940602,28.88553578
Kadıköy Söğütlüçeşme Açık Otoparkı,40.99221645,29.03822243
Büyükçamlıca Korusu Sosyal Tesisleri Önü,41.02670563,29.06954477
Kadıköy Söğütlüçeşme Açık Otoparkı,40.9920379,29.03888105
Büyükçamlıca Korusu Sosyal Tesisleri Önü,41.02642936,29.06978052
Ümraniye Dr.Adnan Büyükdeniz Caddesi Açık Otoparkı,41.03208012,29.11185224
Ortaköy Açık,41.0504157,29.03259985
Küçüksu Kasrı Açık Otoparkı,41.07875066,29.06574994
Küçüksu Kasrı Açık Otoparkı,41.07855928,29.06556114
İshakpaşa Caddesi,41.00805097,28.98149284
Beşiktaş Halk Pazarı 1,41.04970881,29.00062578
Kutlugün Sokak 1,41.00700333,28.9811458
Yenikapı Marmaray Küçük Otoparkı,41.0049568,28.95157398
Feshane P+R Açık Otoparkı,41.04632667,28.93760965
Kutlugün Sokak 2,41.00606626,28.98012217
Menekşe Plajı Açık Otoparkı,40.97623801,28.77667418
Kağıthane Harmantepe Zemin Altı Otoparkı,41.08084911,28.99023193
İ.M.P Önü 1,41.0317898,28.97466056
Ortaköy Açık,41.05055653,29.0328891
Beşiktaş Halk Pazarı 2,41.04972267,29.00052315
Feshane P+R Açık Otoparkı,41.04626344,28.93765821
Yenikapı Marmaray Küçük Otoparkı,41.0063846,28.95044446
Üsküdar Belediyesi Yeraltı Otoparkı,41.02064481,29.01931018
Bostancı Sahil-Cep Açık Otoparkı,40.95452326,29.08848729
A-15 Topkapı-Arnavutköy Minibüs Durağı,40.93269968,29.32515411
Bayrampaşa Nikah Dairesi Otoparkı,41.0431703,28.91304374
İdealtepe Açık Otoparkı,40.93766916,29.11371933
Üsküdar Ünalan Açık P+R,40.99787274,29.06045258
Üsküdar Ünalan Açık P+R,40.99834818,29.05879478
Deniz Feneri Otoparkı,41.00193367,28.97720776
Deniz Feneri Otoparkı,41.00127884,28.97681674
Gedikpaşa Açık Otoparkı,41.00729209,28.96364755
Gedikpaşa Açık Otoparkı,41.00731234,28.96370963
Kalamış Açık Otoparkı,40.96855762,29.03600693
Alibeyköy Yeşiltepe Zemin Altı Otoparkı,41.07932008,28.93846091
Siyavuşpaşa Yer Altı Otoparkı,40.99651351,28.85315581
Maslak P+R Yol Üstü,41.11664081,29.02409572
Küçükyalı P+R,40.9498979,29.1224593
Biruni Üniversitesi Açık Otoparkı,41.00425724,28.92015696
Selim Sırrı Tarcan Katlı Otoparkı,41.07314716,28.99801297
