NAME,LATITUDE,LONGITUDE,NEIGHBORHOOD_NAME
SULTANBEYLİ,40.96122581,29.28279741,TURGUT REİS
SANCAKTEPE,40.98563868,29.20100302,BÜYÜKBAKKALKÖY
SULTANBEYLİ,40.97128421,29.25725831,ABDURRAHMANGAZİ
SİLİVRİ,41.07994225,28.20693349,MİMAR SİNAN
BAHÇELİEVLER,41.00099729,28.82271767,ÇOBANÇEŞME
GAZİOSMANPAŞA,41.08161319,28.8962495,YENİ MAHALLE
BAKIRKÖY,40.97239108,28.87823811,ZEYTİNLİK
ESENYURT,41.01154738,28.69804547,SAADETDERE
ŞİLE,41.16792395,29.56129221,MEŞRUTİYET
PENDİK,40.85610836,29.2912771,ESENYALI
ÇATALCA,41.15805446,28.45524206,KALEİÇİ
ŞİŞLİ,41.04799605,28.9686015,PAŞA
BEYOĞLU,41.04156691,28.97933781,YENİŞEHİR
BEŞİKTAŞ,41.06987982,29.01527361,NİSBETİYE
ÜMRANİYE,41.01667932,29.14160235,CEMİL MERİÇ
SANCAKTEPE,41.01257362,29.20741025,MECLİS
ESENYURT,41.00649879,28.66754133,MEVLANA
SANCAKTEPE,40.98942627,29.19538731,BÜYÜKBAKKALKÖY
ESENYURT,41.06871475,28.66075445,KOZA
SİLİVRİ,41.09568787,27.99974117,FEVZİPAŞA
KAĞITHANE,41.08524513,28.97806908,MERKEZ
ESENLER,41.05465828,28.86387982,HAVAALANI
SULTANGAZİ,41.08989876,28.88303667,CUMHURİYET
BAŞAKŞEHİR,41.0598117,28.69920805,BAHÇEŞEHİR 1. KISIM
KADIKÖY,40.97086977,29.08365389,ERENKÖY
ÜSKÜDAR,41.0230893,29.04313523,ALTUNİZADE
BEYKOZ,41.13278022,29.28257141,İSHAKLI
BAĞCILAR,41.02710473,28.85689017,YILDIZTEPE
BAKIRKÖY,40.99171034,28.83805773,ATAKÖY 7-8-9-10. KISIM
KARTAL,40.90247235,29.2175119,CUMHURİYET
